day_index,global_day,puzzle_id,category,difficulty,hints,automated_reviewed,human_reviewed
0,1,wordly-001,WORDLY,STARTER,3,true,true
0,1,spelling-001,SPELLING_B,STARTER,4,true,true
0,1,crossword-001,CROSSWORD,STARTER,4,true,true
0,1,sudoku-001,SUDOKU,STARTER,4,true,true
0,1,connections-001,CONNECTIONS,STARTER,4,true,true
1,2,wordly-002,WORDLY,STARTER,3,true,true
1,2,spelling-002,SPELLING_B,STARTER,4,true,true
1,2,crossword-002,CROSSWORD,STARTER,4,true,true
1,2,sudoku-002,SUDOKU,STARTER,4,true,true
1,2,connections-002,CONNECTIONS,STARTER,4,true,true
2,3,wordly-003,WORDLY,STARTER,3,true,true
2,3,spelling-003,SPELLING_B,STARTER,4,true,true
2,3,crossword-003,CROSSWORD,STARTER,4,true,true
2,3,sudoku-003,SUDOKU,STARTER,4,true,true
2,3,connections-003,CONNECTIONS,STARTER,4,true,true
3,4,wordly-004,WORDLY,STARTER,3,true,true
3,4,spelling-004,SPELLING_B,STARTER,4,true,true
3,4,crossword-004,CROSSWORD,STARTER,4,true,true
3,4,sudoku-004,SUDOKU,STARTER,4,true,true
3,4,connections-004,CONNECTIONS,STARTER,4,true,true
4,5,wordly-005,WORDLY,STARTER,3,true,true
4,5,spelling-005,SPELLING_B,STARTER,4,true,true
4,5,crossword-005,CROSSWORD,STARTER,4,true,true
4,5,sudoku-005,SUDOKU,STARTER,4,true,true
4,5,connections-005,CONNECTIONS,STARTER,4,true,true
5,6,wordly-006,WORDLY,STARTER,3,true,true
5,6,spelling-006,SPELLING_B,STARTER,4,true,true
5,6,crossword-006,CROSSWORD,STARTER,4,true,true
5,6,sudoku-006,SUDOKU,STARTER,4,true,true
5,6,connections-006,CONNECTIONS,STARTER,4,true,true
6,7,wordly-007,WORDLY,STARTER,3,true,true
6,7,spelling-007,SPELLING_B,STARTER,4,true,true
6,7,crossword-007,CROSSWORD,STARTER,4,true,true
6,7,sudoku-007,SUDOKU,STARTER,4,true,true
6,7,connections-007,CONNECTIONS,STARTER,4,true,true
7,8,wordly-008,WORDLY,STARTER,3,true,true
7,8,spelling-008,SPELLING_B,STARTER,4,true,true
7,8,crossword-008,CROSSWORD,STARTER,4,true,true
7,8,sudoku-008,SUDOKU,STARTER,4,true,true
7,8,connections-008,CONNECTIONS,STARTER,4,true,true
8,9,wordly-009,WORDLY,STARTER,3,true,true
8,9,spelling-009,SPELLING_B,STARTER,4,true,true
